         9309504 function calls (9285022 primitive calls) in 72.546 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.290    0.290   58.947   58.947 main_GANs.py:211(<listcomp>)
    50001    0.898    0.000   58.657    0.001 cifar.py:103(__getitem__)
    50000    0.810    0.000   47.638    0.001 transforms.py:93(__call__)
103426/100602    1.078    0.000   29.595    0.000 module.py:1494(_call_impl)
    50000    0.177    0.000   17.854    0.000 transforms.py:129(__call__)
    50000    2.131    0.000   17.678    0.000 functional.py:125(to_tensor)
    50000    0.231    0.000   14.945    0.000 transforms.py:353(forward)
    50000    1.388    0.000   14.713    0.000 functional.py:391(resize)
    50000    0.448    0.000   12.736    0.000 transforms.py:269(forward)
    50000    0.581    0.000   12.288    0.000 functional.py:340(normalize)
    50000    0.305    0.000   10.766    0.000 _functional_pil.py:238(resize)
    50000    3.302    0.000   10.461    0.000 _functional_tensor.py:905(normalize)
    50000    1.205    0.000   10.354    0.000 Image.py:2090(resize)
    50000    1.785    0.000   10.121    0.000 Image.py:3031(fromarray)
    50000    8.433    0.000    8.433    0.000 {method 'resize' of 'ImagingCore' objects}
        1    0.020    0.020    7.967    7.967 GANs_MLP_model.py:45(train)
      100    0.013    0.000    7.307    0.073 optimizers.py:319(step)
    50000    1.958    0.000    5.923    0.000 {built-in method numpy.array}
      400    0.004    0.000    5.636    0.014 __init__.py:204(grad)
      400    5.597    0.014    5.597    0.014 {method 'run_backward' of 'torch._C._EngineBase' objects}
    50010    0.255    0.000    4.830    0.000 Image.py:2974(frombuffer)
    50000    0.551    0.000    4.060    0.000 Image.py:2936(frombytes)
    50000    0.386    0.000    3.885    0.000 Image.py:686(__array_interface__)
    50000    3.354    0.000    3.354    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
    50000    0.960    0.000    3.003    0.000 Image.py:725(tobytes)
    50940    2.359    0.000    2.359    0.000 {method 'to' of 'torch._C._TensorBase' objects}
   200005    1.343    0.000    2.300    0.000 utils.py:538(_log_api_usage_once)
    52800    2.198    0.000    2.198    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
    50000    2.197    0.000    2.197    0.000 {method 'div' of 'torch._C._TensorBase' objects}
        1    0.001    0.001    1.991    1.991 Dataloader.py:45(cifar10_data)
        1    0.000    0.000    1.989    1.989 cifar.py:51(__init__)
    50010    0.306    0.000    1.963    0.000 Image.py:2897(new)
        1    0.000    0.000    1.869    1.869 distributed_c10d.py:766(init_process_group)
        1    0.009    0.009    1.869    1.869 distributed_c10d.py:434(_store_based_barrier)
   100000    1.862    0.000    1.862    0.000 {built-in method torch.as_tensor}
      159    1.860    0.012    1.860    0.012 {built-in method time.sleep}
      200    0.283    0.001    1.627    0.008 utils.py:177(Hvp_vec)
