         9311263 function calls (9286735 primitive calls) in 36.064 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.117    0.117   29.892   29.892 main_GANs.py:211(<listcomp>)
    50001    0.382    0.000   29.775    0.001 cifar.py:103(__getitem__)
    50000    0.421    0.000   24.169    0.000 transforms.py:93(__call__)
103426/100602    0.418    0.000   15.647    0.000 module.py:1494(_call_impl)
    50000    0.090    0.000    9.380    0.000 transforms.py:129(__call__)
    50000    1.095    0.000    9.291    0.000 functional.py:125(to_tensor)
    50000    0.109    0.000    7.902    0.000 transforms.py:353(forward)
    50000    0.579    0.000    7.794    0.000 functional.py:391(resize)
    50000    0.057    0.000    5.824    0.000 transforms.py:269(forward)
    50000    0.394    0.000    5.767    0.000 functional.py:340(normalize)
    50000    0.169    0.000    5.469    0.000 _functional_pil.py:238(resize)
    50000    0.513    0.000    5.274    0.000 Image.py:2090(resize)
    50000    0.866    0.000    5.224    0.000 Image.py:3031(fromarray)
    50000    1.721    0.000    5.018    0.000 _functional_tensor.py:905(normalize)
        1    0.027    0.027    4.326    4.326 GANs_MLP_model.py:45(train)
    50000    4.182    0.000    4.182    0.000 {method 'resize' of 'ImagingCore' objects}
      100    0.017    0.000    3.804    0.038 optimizers.py:319(step)
    50000    0.918    0.000    2.714    0.000 {built-in method numpy.array}
    50010    0.104    0.000    2.452    0.000 Image.py:2974(frombuffer)
    50000    0.240    0.000    2.195    0.000 Image.py:2936(frombytes)
      400    0.004    0.000    2.107    0.005 __init__.py:204(grad)
      400    2.072    0.005    2.072    0.005 {method 'run_backward' of 'torch._C._EngineBase' objects}
    50000    1.843    0.000    1.843    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
    50000    0.188    0.000    1.741    0.000 Image.py:686(__array_interface__)
    50000    0.435    0.000    1.335    0.000 Image.py:725(tobytes)
    52800    1.319    0.000    1.319    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
    50000    1.309    0.000    1.309    0.000 {method 'div' of 'torch._C._TensorBase' objects}
        1    0.001    0.001    1.077    1.077 Dataloader.py:45(cifar10_data)
        1    0.000    0.000    1.076    1.076 cifar.py:51(__init__)
    50010    0.231    0.000    1.018    0.000 Image.py:2897(new)
   200005    0.544    0.000    1.013    0.000 utils.py:538(_log_api_usage_once)
      200    0.069    0.000    0.916    0.005 utils.py:177(Hvp_vec)
   152902    0.846    0.000    0.846    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    50000    0.172    0.000    0.842    0.000 functional.py:64(get_dimensions)
    50000    0.232    0.000    0.840    0.000 Image.py:803(frombytes)
        7    0.000    0.000    0.807    0.115 utils.py:69(check_integrity)
   100000    0.804    0.000    0.804    0.000 {built-in method torch.as_tensor}
        1    0.000    0.000    0.796    0.796 cifar.py:128(_check_integrity)
    50940    0.788    0.000    0.788    0.000 {method 'to' of 'torch._C._TensorBase' objects}
        7    0.000    0.000    0.788    0.113 utils.py:65(check_md5)
